Word,Antonym Level 1,Antonym Level 2,Antonym Level 3,Antonym Level 4
a la carte ,,,,
aback,,,,
abandon,,harbour,,
abase,,,,exalt
abbey,,,,
abdicate,,,,
aberrant,,common,,customary
abet,,hinder,,
abhorrent,,,,innocuous
abject,,,,
abjure,,adhere,,
ablate,,,,
ablution,,,,
abnegate,,condiscate,,wrest
abode,,,,
abominate,,love,,
abridge,,elongate,,
abrogate,,,,
abrade,,,,
absent,present,,,
abstain,,,,
abstemious,,,,hedonistic
abstract,concrete,,,
abstruse,,straightforward,,lucid
abuse,,,,
abut,,,,
abysmal,,superficial,,
abyss,,,,
academia,,,,
accede,,dissent,,
accelerant,,,,
acclaim,,,,
acclivity,,decline,,
accolades ,,,,
accompany,,,,
accost,,,,
accountability,,,,
accurate,wrong,,,
acerbic,,,,
ache,comfort,,,
acolyte ,,leader,,
acquiesce,,dissent,,
acquire,lose,,,
acquit,incriminate,,,
acrimony,,softness,,
acumen,,,,
adamant,,yielding,,
adamantine,,compliant,,
adapt,,,,
addle,,,clearheaded,
adjourn,continue,,,
adjure,,,,
adjust,,,,
admit,deny,,,
ado,,,,
adorn,disfigure,blemish,,
admiration,,,,
admonish,,,,
adulation,,,,
adumbrate,,,,
advocate,opponent,adversary,,
aegis,,,,
affable,,,ill tempered,
affluent,destitute,impoverished,,impecunious
affectionate,,,,
afficionado,,,,
afoot,,,,
afraid,fearless,,,
aggrandize,,downsize,,
aghast,,fearless,,
agog,,,indifferent,
alibi,,,,
aggravate,,ease,mitigate,
alacrity,,,,
alienation,,,,
allay,,aggravate,,
allocate,,,,
allow,prohibit,,,
allure,,,repel,
alone,accompanied,,,
aloof,,,,
alter,fix,stablise,,
altercation,,,,
altruism,,,,
ambiguous,clear,,,
ambivalent,,,,
ambulant,,,,
ambush,,,,
ameliorate,worsen,,,
amenable,,,,
amiable,,,,
amok,,,,
amorphous,structured,,,
amputate,,,,
anachronistic,,,,
analogy,,,,
anathema,blessing,,,
anchor,,,,
anemic,,,,
animus,,,,
anoint,,,,
anguish,,,,
annals,,,,
annihilate,,,,
annotate,,,,
announce,,,,
annoy,,,,
anonymous,,,,
annul,,,,
anodyne,,,,
anoint,,,,
anonymous,,,,
answer,,,,
antagonism,,,,
antecede,,,,
anticlimax,,,,
antidote,,,,
antiquity,,,,
anxious,calm,,,
aplomb,discomposure,,,
apocalypse,,,,
apocryphal,,,,
apogee,,,,
apologise,,,,
apostate,loyalist,,,
appall,,,,
apparition,,,,
appease,infuriate,,,
appetite,,,,
appraisal,,,,
appreciate,dislike,,,abhor
appropriate,improper,,,
approximate,absolute,,,
appurtenant,main,,,
aprehend,,discharge,,
apropos,extraneous,,,
arbitrate,,,,
arcane,,,,
archaic,,,,
archetypal,,,,
ardent,,,,
arduous,effortless,,,
argument,,,,
Armageddon,,,,
array,,,,
arrest,,,,
arrive,leave,,,
arriviste,,,,
arrogate,,,,
articulate,speechless,,,
ascend,,,,
ascendancy,,,,
asinine,,,,
askance,,,,
assail,,,,
assidous,,inactive,,
assuage,,aggravate,,
assume,,,,
astonish,,,,
astride,,,,
astute,,,,
atrocious,,,,
attenuate,,appreciate,,
attune,,,,
audacious,,,,
augment,,,,
augur,,,,
austere,,lax,,clement
avant grade,,,,
babble,,,,
bacchanal,,,,
backtrack ,,,,
badger,,,,
baggage,,,,
bait,,,,
bailiwick,,,,
baleful,,,,
bamb,,,,
banausic,,,,
baneful,,benign,,anodyne
barbarian,civilised,,,
banal,,fresh,,
bare,,,,
barrage,,,,
basis,,,,
bathos,,,,
becoming,,inappropriate,,
bedevil,,,,
bedraggled,,dry,,
befall,,,,
befit,,,,
befog,,,,
befool,,,,
befuddle,,,,
beget,,,,
begin,end,,,
beget,,,,
behead,,,,
behemoth,,diminutive,,
behove,,,,
bejeweled,,,,
belie,,,,
belittle,,,,
bellicose,,,,
belligerent,,,,
bemoan ,rejoice,,,exult
benign,,pernicious,,
benefactor,,,,
beneficial,disadvantageous,,,
benevolent,,,,callous
benighted,,knowledgeable,,
benign,dangerous,,,
bequeath,,,,
bereaved,,,,
bereft,,,,
berserk,,,,
beseech,,,,
beset,,,,
besiege,,,,
besmirch,,cleanse,,
besotted,,,,
bestial,,,,
bestow,,,,
betray,,,,
betroth,,,,
bevy,,,,
bicker,,,,
biennial,,,,
bigot,,,,
bilk,,,,
billowing,,,,
billious,,,,
blame,,,,
blandish,,,,
blanket,,,,
blasé,,,,
blatant,,,,
bleak,,,,
blemish,,,,
blight,,,,
blinker,,,,
blithe,,,,
blitzkrieg,,,,
blockade,,,,
blossom,,,,
bludgeon,,,,
blunder,,,,
blurt,,,,
boast,,,,
bogus,,,,
boisterous,,,,
bolster,,,,
bombastic,,,,
boomerang,,,,
bona fide,,,,
boorish,,,,
bowdlerize,,,,
brazen,,,,
brace,,,,
breach,,,,
break,,,,
breed,,,,
brevity,,,,
brew,,,,
brickbat ,,,,
bridle,,,,
brief,,,,
brilliant,,,,
brim,,,,
broach,,,,
browbeat,,,,
brook,,,,
bruise,,,,
brusque,,,,
brutish,,,,
buckle,,,,
bucolic,,,,urban
build up,,,,
bulwark,,,,
bumbling,,,,
bungle,,,,
burlesque,,,,
burnish,,,,
burry,,exhume,,
bustling,,,,
byzantine,,,,
cabal,,,,
cadaver,,,,
cagey ,,,,
cajole,,,,
,,,,
,,,,
callous,,compassionate,,
calumny ,,,,
,,,,
camouflage,,,,
canard,,,,
candid,,,,
canoodle,,,,
cantankerous,,,,amiable
capitulate,,,,
canonize,,,,
capacious,,,,
caress,,,,
carpetbaggers,,,,
castigate,,,,
cataclysm,,,,
categorical,,,,
caudal,,,,
cauterise,,,,
cautious,unmindful,,,
cavalier,,,,
cavernous,,,,
cease,continue,,,
celebrate,,,,
celerity,,,,
cement ,,,,
certain,dubious,,,
cerulean,,,,
chafe,,,,
chagrin,,,,
chandelier,,,,
chaos,order,,,
charlatan,,,,
chasm,,,,
chastise,,,,
cheap,valuable,,,
chequered ,,,,
chicanery,,,,
chide,,,,
childish,,,,
chivalrous,,,,
chronological,,,,
churlish,,,,
churn,,,,
circuitous,,straightforward,,
circumambulate,,,,
circumvent,,,,
clairvoyance,,,,
clamour,,,,
climactic,,,,
cloistered,,,,
clout,,,,
coddle,,,,
coerce,,,,
cogent,,,,
cogitate,,,,
cognoscente,,,,amateur
collect,scatter,dissipate,,
colloquy,,,,
colloquial,,,,
collude,,,,
colossal,,,,infinitesimal
comely,,,,
,,,,
commence,conclude,terminate,,
commingle,,,,
commute,,,,
compartmentalisation ,,,,
comply,,,,
comprehensive,,,,
compunctious,,,,
conceit,,,,
conciliate,,,,
conciliatory,,,,
conclusive,indecisive,,,
concoct,,,,
concomitant,,,,
concupiscence,,,,
concur,,,,
condemn,,,,
condign,,,,undue
condone,,,,
conducive,,useless,,
contumely,,,,
confabulate,,,,
confidant,,,,
confine,,,,
confrontation,,,,
congenial,,,,
congeries,,,,
conjecture,,,,
connoisseur,,,,
consequential,,,,
conscientious,,,,
consist,,,,
construe,,,,
contaminate,purify,,,
contemporary,,,,
contend,,,,
contravention,,,,
controvert,,,,
contumacious ,,,,
conundrum,,,,
convivial,,,,
convoluted,,,,
copious,,,,
corpulent,,,,skinny
corroborate,,,,refute
coryphaeus,,,,
coterminous,,,,asynchronous
counterpoise,,,,
cower,,,,
arash,,,,
credit,,,,
credulity,,,,
criticise,,,,
cryptic,,clear,,
cue,,,,
culminate,,,,
cumbersome,handy,,,
cunning,,,,
,,,,
cursory,,,,
curtail,,,,
cynical,,,,
cynosure,,,,
dampen,,,,
daring,,,,
dastardly,,,,
daunting,,,,
dawdle,scurry,,,
debris,,,,
decadence,,,,
decimate,build,,,
decoy,,,,
